,이름,채널ID,동영상ID,조회수,좋아요수,댓글수
279,이공삼,UC2B5onlYkZ7IaVekR9yIB6w,tSqj6wdCsug,1342878,20961,360
280,이공삼,UC2B5onlYkZ7IaVekR9yIB6w,YBXl0NsMVKE,626475,14629,329
281,이공삼,UC2B5onlYkZ7IaVekR9yIB6w,PO5yYArP53w,556198,15082,326
282,이공삼,UC2B5onlYkZ7IaVekR9yIB6w,zQrRwuZQGp0,2410028,35827,534
283,이공삼,UC2B5onlYkZ7IaVekR9yIB6w,OBMuQ4HgURQ,421408,11946,241
284,이공삼,UC2B5onlYkZ7IaVekR9yIB6w,_VR_Aqg7i74,677879,16024,247
285,이공삼,UC2B5onlYkZ7IaVekR9yIB6w,XEMijir4xjY,1093919,21910,380
286,이공삼,UC2B5onlYkZ7IaVekR9yIB6w,_OQrI1dCzfA,768974,15962,302
287,이공삼,UC2B5onlYkZ7IaVekR9yIB6w,weMwE098DU0,392501,23544,90
288,이공삼,UC2B5onlYkZ7IaVekR9yIB6w,wJn02ZVrSTM,867304,14684,296
289,이공삼,UC2B5onlYkZ7IaVekR9yIB6w,N_snJrapko4,198972,11570,56
290,이공삼,UC2B5onlYkZ7IaVekR9yIB6w,fddOReOa7oE,3001502,26356,714
291,이공삼,UC2B5onlYkZ7IaVekR9yIB6w,lPJUX-_DIm0,222555,12062,44
292,이공삼,UC2B5onlYkZ7IaVekR9yIB6w,zSMa2ZqmHWU,886230,20208,370
293,이공삼,UC2B5onlYkZ7IaVekR9yIB6w,Dq5sOvXQ-4M,448741,33424,96
294,이공삼,UC2B5onlYkZ7IaVekR9yIB6w,RteA5Pahs9o,872425,19973,347
295,이공삼,UC2B5onlYkZ7IaVekR9yIB6w,zXT4cCqMtkw,165625,9131,37
296,이공삼,UC2B5onlYkZ7IaVekR9yIB6w,Ga6Uu00JNC4,8324330,85508,1811
297,이공삼,UC2B5onlYkZ7IaVekR9yIB6w,JHDZkGfecyc,189094,10955,41
298,이공삼,UC2B5onlYkZ7IaVekR9yIB6w,EfYpmttEyPw,1032508,20344,328
299,이공삼,UC2B5onlYkZ7IaVekR9yIB6w,2E5ebdVWfzM,395057,21681,53
