,이름,채널ID,동영상ID,제목,조회수,좋아요수,댓글수
327,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,CffUvfkfGEQ,치즈 폭탄 🧀 떡볶이와 직접 만든 치킨 &amp; 칙필레소스 새우구이 까지 먹방 레시피 Cheese  Tteokbokki Shrimp Seafood Mukbang ASMR Ssoyoung,1123213,18845,435
328,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,V2QIr4uiNZk,[Mukbang Shorts] 가리비 낙지 꽃게 해물찜 먹방 Scallop Small Octopus Crab Spicy Seafood Boil ASMR Ssoyoung,148468,9531,46
329,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,RnrV5QF_Oug,꿀조합 🍖 LA갈비 열라면 쉐이크쉑 먹방 LA Galbi Yeul Ramen Milkshake with French Fries Combo Mukbang ASMR Ssoyoung,344330,8798,233
330,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,gTSAZpi13nM,[Mukbang Shorts] 매운낙지볶음 집밥 먹방 ❤ Spicy Octopus &amp; Korean style home cooked meal ASMR Ssoyoung,126046,5622,39
331,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,cBrDzMfkrn8,밥도둑 매운낙지볶음 &amp; 계란말이 쏘세지 집밥 먹방 ❤ Spicy Octopus &amp; Korean style home cooked meal Mukbang ASMR Ssoyoung,524828,11685,267
332,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,ZB-jpzk10Mg,가리비 폭탄 낙지 꽃게 해물찜 먹방 Scallop Bomb! Small Octopus Crab Spicy Seafood Boil Recipe Mukbang ASMR Ssoyoung,562675,12439,343
333,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,H66x-8ND8lU,[Mukbang Shorts] 배고플땐 라면이지..🤣 열라면 3봉지 김밥 김장김치까지 먹방 Korean Spicy Ramen gimbap kimchi ASMR Ssoyoung,132180,6598,58
334,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,xsQEs-GGDxo,매콤한 열라면 3봉지 🔥 김밥 김장김치까지 꿀조합 먹방 Korean Yeul Ramen Gimbap Spicy Kimchi Recipe Mukbang ASMR Ssoyoung,723105,16184,359
335,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,4tMIO3k3wJM,[Mukbang Shorts] 랍스터 버터구이 🦞 쌀국수 먹방 쇼츠 Rice Noodle Pho with Grilled Cheese Lobster ASMR Ssoyoung,91492,5353,42
336,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,Q3Dkod8cX68,대왕 랍스터 버터구이 🦞 직접 만든 쌀국수 먹방 레시피 Homemade Rice Noodle Pho with Grilled Cheese Lobster Recipe Mukbang,326442,8980,256
337,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,kaazVbR4pjs,해물 FLEX 🐙 문어 랍스터 해물찜 레시피 먹방 (feat. 만리) Double Octopus Lobster Seafoodboil Jjamppong Mukbang Ssoyoung,1195324,21860,565
338,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,4cuCn7gLGt0,[Mukbang shorts] 대왕딸기 🍓 휘핑크림 초코 연유 소스까지 과일먹방 Giant Strawberry fruits ASMR Ssoyoung,124006,6592,40
339,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,QMHhuO9FbF0,대왕 딸기 🍓 킹스베리 &amp; 딸기 디저트 레시피 먹방 Giant King&#39;s Berry Strawberry desserts Recipe Mukbang ASMR Ssoyoung,356014,9347,349
340,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,XBdwqkd9-74,통문어 🐙 직접 만든 해물 쟁반 짜장 크크크 치킨 먹방 &amp; 레시피! Octopus Jjajang Seafood Boil BTS Chicken Mukbang ASMR Ssoyoung,585181,12011,290
341,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,kr6HDkSxSTI,대왕 킹크랩 🦀 해물찜 비빔밥 먹방 레시피 Giant KingCrab Seafoodboil With Sambal Sauce Recipe Mukbang ASMR Ssoyoung,921460,18740,439
342,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,wv7qyXRcyO0,[Mukbang Shorts] 가리비 해물찜 불닭팽이버섯 진진짜라 라면 먹방 쇼츠 Jjajang Ramaen spicy Scallops Seafood ASMR Ssoyoung,123032,6971,42
343,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,Iot3A3Fa5Rk,벌꿀집 🍯 직접 만든 고르곤졸라 피자 &amp; 두가지 맛 파스타 먹방 레시피 Giant HoneyComb &amp; Cheese Pizza &amp; Pasta Mukbang ASMR Ssoyoung,414959,10446,300
344,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,WZGD901hRog,[Mukbang Shorts] 낙지 가리비 해물찜 먹방 쇼츠 Small Octopus Scallops Seafood Boil Recipe ASMR Ssoyoung,157821,10150,49
345,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,SGCA41jOJyE,진진짜라✨ 가리비 해물찜 불닭팽이버섯 먹방 레시피 ! Jjajang Ramaen spicy Scallops Seafood  Recipe Mukbang ASMR Ssoyoung,658512,13617,288
346,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,x7RyIaYCOPU,오동통 낙지 🐙 가리비 해물찜 먹방 &amp; 레시피 (ft. 볶음밥) Small Octopus Scallops Seafood Boil Recipe Mukbang ASMR Ssoyoung,2132365,28168,523
347,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,9JXJyPb_Fx0,[Mukbang shorts] 콘치즈 🧀 불닭볶음면 먹방 레시피 쇼츠 Corn Cheese Budlak Noodle (ft. Fried prawn) ASMR Ssoyoung,206895,9842,38
348,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,gkdK55EuLV4,매운 우족찜🔥 짜파게티 오징어 숙회 먹방 레시피 ! SPICY Beef Feet Jjajang Ramen  Squid Seafood Mukbang ASMR Ssoyoung,437818,10535,263
349,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,yQDsk0_eiG0,[Mukbang Shorts] 알찜 통 오징어 🦑 가리비 해물찜 먹방 쇼츠 Squid Shrimp Scallop Roe Seafood Boil Recipe ASMR Ssoyoung,687175,44446,82
350,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,yQDsk0_eiG0,[Mukbang Shorts] 알찜 통 오징어 🦑 가리비 해물찜 먹방 쇼츠 Squid Shrimp Scallop Roe Seafood Boil Recipe ASMR Ssoyoung,687175,44446,82
351,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,7ZWxmC3mdWA,꾸떡꾸덕 🧀 콘치즈 불닭볶음면 먹방 레시피 (ft. 새우튀김) Corn Cheese Budlak Noodle (ft. Fried prawn) Mukbang ASMR Ssoyoung,1272279,25055,493
352,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,yNZK_30U4QA,통 오징어 🦑 가리비 알찜 해물찜 먹방 &amp; 레시피 Whole Squid Shrimp Scallop Roe Seafood Boil Recipe Mukbang ASMR Ssoyoung,2197508,29585,456
353,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,BFv1uCpgRtg,[Mukbang Shorts] 통대창 🔥 곱창 먹방 쇼츠 (ft.불닭볶음면 &amp; 볶음밥) Beef Intestines Daechang Buldak Ramen ASMR Ssoyoung,110178,5349,30
354,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,P8qHki3ujQI,오동통✨ 통대창 곱창 불닭볶음면 (ft.볶음밥) 먹방 Crunchy Beef Intestines Daechang Buldak Ramen Mukbang ASMR Ssoyoung,940159,15838,314
355,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,-k_bOexTRag,[Mukbang shorts] 통문어 해물 순두부 짬뽕라면 🐙 먹방 레시피 쇼츠 Spicy Seafood SoftTofu Buldak Jjamppong ASMR Ssoyoung,112100,6018,32
356,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,siVep_Z4qUw,역대급 초대왕 랍스터 🦞 오징어 팽이버섯 해물찜 먹방 레시피 Giant Lobster Enoki Mushrooms Squid Seafood Mukbang ASMR Ssoyoung,1158343,19122,361
357,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,AKE7PhgCCeY,짜장 🖤 대왕 문어다리 🐙 랍스터 🦞 해물찜 먹방 레시피 Jjajang Giant Octopus Legs Lobster Seafood Mukbang ASMR Ssoyoung,960334,17236,395
358,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,viH-QEkW99c,[Mukbang Shorts] 짜왕 🔥 불닭새우 통다리 치킨 먹방 쇼츠 Korean Jjajang Ramen Chicken Seafood Recipe ASMR Ssoyoung,192433,9374,54
359,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,5iFlyORWNJI,매운 🔥 대왕 문어다리 🐙 랍스터 🦞 해물찜 먹방 레시피 Spicy Giant Octopus Legs Lobster Seafood Mukbang ASMR Ssoyoung,1423813,21882,499
360,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,kaai9l0-5AQ,[Mukbang Shorts] 대왕 타조알 프라이 만들기! (feat. 불닭볶음면) Giant Fried ostrich EGG Buldak Ramen ASMR Ssoyoung,166611,7971,59
361,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,aQ51BEGr5kE,꿀조합 🔥 짜장라면 새우 직접 만든 통다리 치킨 먹방 레시피 Korean Jjajang Ramen Chicken Seafood Recipe Mukbang ASMR Ssoyoung,605060,12115,303
362,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,humO-usxkpk,모둠 꼬치구이 🍡 문어 새우 랍스터 닭꼬치 &amp; 불닭볶음면 꿀조합 먹방 &amp; 레시피 Octopus lobster Chicken Skewers Mukbang ASMR Ssoyoung,537150,11420,286
363,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,qSSRCyOnLEQ,[Mukbang Shorts] 짜파게티 치킨 🍗(ft.뿌링클) 먹방 레시피 쇼츠 Jjapaghetti Fried chicken Shrimp Seafood ASMR Ssoyoung,194664,9739,38
364,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,YsuxYW8Fk3g,역대급 🥚 대왕 타조알 프라이 &amp; 수란 불닭볶음면 까지 먹방 레시피 Fried ostrich EGG Korean Buldak Ramen Mukbang ASMR Ssoyoung,477418,10379,318
365,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,NVXOCGgX0tg,[Mukbang Shorts] 해물볶이! 랍스터 어묵 새우 소세지 먹방 쇼츠 Lobster Enoki Mushroom Seafood boil Recipe ASMR Ssoyoung,159489,9422,57
366,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,25oWmTctIXA,짜파게티 직접 만든 통다리 치킨 🍗(ft.뿌링클) 새우 먹방 레시피 Jjapaghetti Fried chicken Shrimp Seafood Mukbang ASMR Ssoyoung,705623,14454,355
367,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,0mIpfs3ljF4,랍스터 🦞 매운어묵 새우 소세지 해물볶이 먹방 레시피 Spicy Lobster Enoki Mushroom Seafood boil Recipe Mukbang ASMR Ssoyoung,803607,15945,369
368,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,UqXOsv19WC0,불닭짜장🔥 직접 만든 양념치킨 소세지 먹방 레시피 Fried Chicken Enoki Mushrooms Fire noodles Seafood Mukbang ASMR Ssoyoung,2634232,26235,591
369,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,ZESq-agTHvY,[Mukbang Shorts] 마라맛 🔥 랍스터 마라롱샤 &amp; 직접 만든 마라샹궈 까지 먹방 쇼츠 Lobster Crayfish Seafood Recipe ASMR Ssoyoung,118286,6744,42
370,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,1iU0lGKLgVA,얼큰한 🔥 문어 순두부 볶음짬뽕 🐙 먹방 레시피 ! Spicy Seafood SoftTofu Buldak Jjamppong Noodles Mukbang ASMR Ssoyoung,624097,12707,385
371,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,fUdncPv35qw,한식특집✨ 윤기좔좔 쌀밥 &amp; 직접 만든 짜장에 반가한우 스테이크 마파두부까지! 한식 먹방 레시피 Korean Home Food Recipe Mukbang ASMR Ssoyoung,441313,10966,259
372,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,HIO34xcgIOI,[Mukbang Shorts] 짜장짜장 문어 &amp; 낙지 해물찜 🐙 먹방 쇼츠 Octopus Jjajang Seafood Boil Jjapaghetti ASMR Ssoyoung,971385,39589,75
373,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,9KRnd9BFOyQ,마라폭탄! 랍스터 🦞 마라롱샤 직접 만든 마라샹궈 먹방 레시피 Lobster Crayfish Malaxianguo Seafood Recipe Mukbang ASMR Ssoyoung,448093,11036,320
374,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,N9ua2aHvCHg,[Mukbang Shorts] 불오징어 🔥 팽이버섯 해물찜 &amp; 불닭볶음면에 오징어 튀김까지 ! Spicy Squid Enoki Mushroom Noodle ASMR Ssoyoung,126207,7588,51
375,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,BsaxttMWPH8,짜장 스페셜 ✨ 통 문어 낙지다리 볶음짜장! (ft.짜파게티) 먹방 Octopus Jjajang Seafood Boil Jjapaghetti Mukbang ASMR Ssoyoung,665942,13525,320
376,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,UeQQmBhqFRs,불닭 🔥 오징어 팽이버섯 &amp; 오징어 튀김 불닭볶음면 먹방 SPICY Squid Enoki Mushrooms Seafood Noodles Mukbang ASMR Ssoyoung,879872,17167,403
377,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,n1_ff5sysfw,핵맵! 문어 🐙 랍스터 테일 해물찜 먹방 &amp; 레시피 🔥 Spicy Octopus &amp; Lobster Seafood Boil Recipe Mukbang ASMR Ssoyoung,950299,17219,407
378,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,lURa_BhPscs,[Mukbang Shorts] 매콤한 낙지 🐙 해물 볶음짬뽕 먹방 쇼츠 ! Octopus SPICY Seafood Boil Eatingshow ASMR Ssoyoung,127211,7167,37
379,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,pFRn-emXOj4,해물 특집 🌊 연어 해삼 굴 전복 개불 먹방 Seafood Salmon Sea Cucumber Sea Squirt Oyster Abalone Mukbang ASMR Ssoyoung,617481,12774,305
380,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,rbnjw_5uKlE,편의점 🔥 6가지맛 라면 불닭볶음면 치즈불닭 짜장불닭 한국 라면 먹방 Korean Convenience Store Food Ramyun Mukbang ASMR Ssoyoung,464829,12318,393
381,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,ZAdySCrs_FE,[Mukbang Shorts] 여러가지 과일 &amp; 탕후루 디저트 먹방 쇼츠 Fruits Candied Tanghulu Desserts Eatingshow ASMR Ssoyoung,247634,10092,54
382,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,RHRR2JB1ttY,불닭 낙지 🐙 해산물 FLEX 매운맛볶음짬뽕 먹방 Spicy Octopus Seafood Stir Fried Jjamppong Recipe Mukbang ASMR Ssoyoung,2084302,29412,589
383,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,HSmP-US_wzw,[Mukbang Shorts] 짜장 문어 &amp; 낙지 &amp; 쭈꾸미 빨판특집 먹방 쇼츠 🐙 Jjajang Octopus webfoot octopus Seafood ASMR Ssoyoung,404620,20230,70
384,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,oFVmiEkMg4c,과일 파티 💜 얼린 과일 샤인머스캣 딸기 직접 만든 탕후루 케이크 먹방 Frozen Fruit Platter Tanghulu Dessert Mukbang ASMR Ssoyoung,1245015,15065,410
385,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,5FcvraDNaRY,Merry Christmas🎄 메리 크리스마스 킹크랩 &amp; 디저트 먹방 🎅 King Crab Seafood Christmas Desserts Mukbang ASMR Ssoyoung,864740,20312,587
386,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,JRIYvPLKBaQ,[Mukbang Shorts] 짜파게티 &amp; 대왕 닭다리 🍗 레시피 먹방 쇼츠 Jjapaghetti Giant Chicken Drumstick Recipe ASMR Ssoyoung,239582,12437,45
387,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,JcBaxY48G14,짜장 빨판 파티 🐙🖤 문어 쭈꾸미 낙지 짜장 볶음 먹방 레시피 Jjajang Octopus Webfood Octopus Mushrooms Mukbang ASMR Ssoyoung,2092975,28439,657
388,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,-kgs363clWQ,맵싹 🔥 직접 만든 마라롱샤 마라샹궈 레시피 먹방 Stir-fried Spicy Black Pepper Mala Crayfish Recipe Mukbang ASMR Ssoyoung,669223,14156,450
389,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,6MeFwRYXXYo,호랑이 기운🐯 범맥주 신메뉴 꼬치꽂힌닭 &amp; 맥앤치즈 한가득 아메리카닭 치킨 먹방 Korean Fried Chicken Mac &amp; Cheese Mukbang ASMR Ssoyoung,394134,9418,265
390,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,z3WYGfZDACw,[Mukbang Shorts] 불닭 짜장 반반 팽이버섯 ✨ 레시피 먹방 쇼츠 Buldak Spicy Jjajang Enoki Mushrooms Recipe ASMR Ssoyoung,175012,9052,59
391,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,ANamFwEa9Qg,역대급 🐙 대왕 문어다리 해물찜 직접 만든 해산물 볶음 짬뽕 먹방 🔥 Giant Octopus Seafood Jjamppong Recipe Mukbang ASMR Ssoyoung,12845522,123809,3184
392,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,Tbvh1aUJfDI,[Mukbang Shorts] 짜장 랍스터 테일 🦞 Jjajang Lobster Enonki Mushrooms Seafood ASMR Ssoyoung,118425,7054,42
393,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,VlBxa_b6SvU,짜파게티 &amp; 직접 만든 통다리 치킨 🍗 새우 먹방 레시피 Jjapaghetti Korean Ramen Fried chicken Seafood Mukbang ASMR Ssoyoung,2454738,33408,646
394,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,ogAmKCF5TRM,강원도 양구 ✨ 직접 만든 오골계 백숙 &amp; 곰취 솥밥 &amp; 사과깍두기 ! 레시피 먹방 Korean ogol Chicken Korean Food Mukbang ASMR Ssoyoung,278333,7356,244
395,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,HiAp1fOVi1Q,[Mukbang Shorts] 직접 만든 마제소바 🍜 먹방 &amp; 레시피 쇼츠 Maza Soba Noodles &amp; Shrimp Seafood Recipe ASMR Ssoyoung,118738,6596,35
396,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,BcmX4iUMJn0,매콤달콤 🔥 해물 버섯 낙지 볶이 팽이버섯 매운 어묵 먹방 &amp; 레시피 Seafood Octopus Legs 🐙 Enoki Mushrooms Mukbang ASMR Ssoyoung,2474126,28129,666
397,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,jIgNpd71eJs,[Mukbang Shorts] 통대창 🔥 오징어 불닭볶음면 먹방 레시피 쇼츠  Beef Intestines Daechang Seafood Mushrooms ASMR Ssoyoung,152630,7254,36
398,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,KDgwVOo2Oq4,직접만든 🍜 대왕 마제소바 (ft. 이영자 섞박지) 새우튀김 먹방 Maza Soba Noodles &amp; Shrimp Seafood Recipe Mukbang ASMR Ssoyoung,419751,10142,302
399,쏘영 Ssoyoung,UC4PpFUrfT2Pou7OwpVF0MUQ,xZxXam1yKfE,FLEX 🦞 짜장 랍스터 테일 &amp; 문어 &amp; 버섯 먹방 레시피 Jjajang Seafood Lobster Octopus Mushrooms Mukbang ASMR Ssoyoung,1060161,20315,571
400,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,_ErfrJ8d6X8,SUB)돈까스 파티!🤩 통치즈롤까스 카츠산도 등심돈까스에 매콤한 김치카츠나베까지 꿀조합 리얼사운드 Donkatsu Udon Mukbang Asmr,369116,11141,230
401,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,abMTFLPDYVY,SUB)단짠쫀득 대왕 소갈비찜에 비빔냉면 먹방! 한식 꿀조합 리얼사운드 Bibim-naengmyeon Galbi-jjim Mukbang Asmr,563180,13049,272
402,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,sEM3UOufBEE,SUB)뿌링클 수혈타임🌟 불닭볶음면에 뿌링클 치킨 치즈볼 핫도그 감자튀김까지 꿀조합 리얼사운드 Chicken &amp; Buldak Mukbang Asmr,1052210,21313,333
403,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,oOrjx1z1y3c,SUB)청년피자 매드쉬림프 에그콘피자 먹방!🍕후라이드치킨 매콤점보닭다리까지 단짠 꿀조합 리얼사운드 Corn &amp; Shrimp Pizza Mukbang Asmr,769190,18192,351
404,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,R6BeE_t_jPU,SUB)야들매콤 삼겹살김치찜 먹방! 스팸구이 계란후라이 흰쌀밥까지 한식 집밥 꿀조합 리얼사운드 Kimchijjim Mukbang Asmr,601288,13350,287
405,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,s9JkLZA1wJ8,SUB)매운 치즈닭갈비 먹방!🔥 당면 우동 라면사리까지 왕창 추가하고 튀김만두 주먹밥 꿀조합 리얼사운드 Cheese Dakgalbi Mukbang Asmr,764224,16690,283
406,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,1eV4NBpYNjo,SUB)바삭쫀득 명랑 핫도그에 신메뉴 불닭크림떡볶이 먹방! 통모짜 디저트 크림콘꽈배기까지 분식 리얼사운드 Corn Dogs &amp; Tteokbokki Mukbang Asmr,985443,22225,314
407,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,PbmuNa08Fmo,SUB)살살 녹는 성게알연어덮밥에 냉모밀 먹방! 바삭한 새우튀김 멘치카츠까지 꿀조합 Cold Noodles Salmon Urchin Roe Rice Mukbang Asmr,892505,17884,307
408,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,uage9-lO1Zw,SUB)진라면 매운맛 5봉 도전! 라면 먹방🍜 계란에 김장김치까지 리얼사운드 Jin Ramyeon Mukbang Asmr,1278775,24987,465
409,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,aGJ98dv78JU,SUB)매콤짭짤 오징어제육볶음에 불고기 흰쌀밥 먹방! 대왕계란말이 된장찌개까지 한식 집밥 꿀조합 리얼사운드 Jeyukbokkeum Bulgogi Mukbang Asmr,737892,15275,265
410,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,ZkXHTCu-X3s,SUB)바삭매콤 교촌 레드순살 오리지널 치킨에 짜슐랭 먹방!(ft.치즈소스) 짜장라면 꿀조합 리얼사운드 Chapagetti Chicken Mukbang Asmr,1425725,28691,392
411,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,B8j32RGwVaw,SUB)탱글한 치즈랍스타에 대왕 바베큐폭립 먹방! 매운 국물파스타까지 양식 꿀조합 리얼사운드 Lobster &amp; Ribs Mukbang Asmr,813333,17715,254
412,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,qJw8tuvH-2s,SUB)KFC 치킨에 맥주 먹방!🍗 핫크리스피 갓양념 닭껍질튀김 갓쏘이블랙라벨에 디저트 꽈배기 에그타르트까지 리얼사운드 KFC Chicken &amp; Beer Mukbang Asmr,3559729,51866,691
413,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,sgW9rTUnFJA,SUB)대왕 괴물짜장면 도전먹방! 이번엔 제한시간 12분이요..? 그래도 탕수육은 못 참지🫣 디저트 공차까지 야외 먹방 브이로그 Jjajangmyeon Mukbang Vlog,2233753,40520,814
414,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,aXWNqYGyYhQ,SUB)노릇노릇하게 구운 삼겹살에 김치비빔국수 먹방! 충무김밥까지 한식 꿀조합 리얼사운드 Grilled Pork Belly &amp; Bibim-guksu Mukbang Asmr,1113596,20340,286
415,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,MD5aVR4TlMo,SUB)꾸덕꾸덕 로제파티!🥘로제샹궈 로제돈까스 로제닭발 노이로제 걸릴 때까지 먹어보기(ft.통새우 꿔바로우) Rose Mukbang Asmr,1345482,25663,326
416,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,5_mdTnaKz3k,SUB)청년다방 신메뉴! 차돌새우대창 떡볶이 먹방🔥라면 중국당면에 옥수수튀김 김말이 고추 오징어튀김까지 분식 꿀조합 리얼사운드 Tteokbokki Mukbang Asmr,1394708,23682,394
417,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,eIIT6leWXsI,SUB)파사삭!쫀~득한 꽈배기에 고로케 대왕핫도그 먹방!🌭치즈볼 과일찹쌀떡 버블티까지 디저트 꿀조합 리얼사운드 Dessert Mukbang Asmr,979504,22149,290
418,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,PYHJpokI41M,SUB)뜨끈맵칼한 순두부 진짬뽕에 꼬마김밥 김장김치 라면 먹방!🍜 불닭참치 새우튀김김밥 계란말이김밥까지 분식 꿀조합 Ramyeon &amp; Gimbap Mukbang Asmr,2329047,37184,504
419,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,uuJmrP2N7pw,SUB)바삭쫀득 족발카츠 먹방! 치즈돈까스 등심돈까스에 볼카츠까지 카츠파티🥳 리얼사운드 Pork Cutlet Mukbang Asmr,1024664,20671,285
420,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,wEUYciTY6pE,SUB)모둠초밥 먹방!🍣 참치뱃살 연어 묵은지광어 계란초밥 새우튀김까지 리얼사운드 Sushi Mukbang Asmr,827696,17456,345
421,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,JZoKPGp943w,SUB)푸라닭 치킨 신메뉴 마불로 악마 먹방! 🍗🔥  치밥부터 블랙치즈볼까지 꿀조합 리얼 사운드 Chicken &amp; Cheeseball Mukbang Asmr,1230013,23577,345
