,이름,채널id,구독자수,동영상개수,동영상총조회수
0,제인,UC2fsxQr6Hcx1enORxXgKpxQ,17600000,2093,7232558937
1,홍유,UCxtLc0Jqq3SKBWlIXM_OC9g,14900000,627,4963417174
2,햄지,UCPKNKldggioffXPkSmjs5lQ,11200000,592,3785972844
3,쏘영,UC4PpFUrfT2Pou7OwpVF0MUQ,9750000,787,1482284147
4,문복희,UCoLQZ4ZClFqVPCvvjuiUSRA,8880000,702,2443206297
5,쯔양,UCfpaSruWW3S4dibonKXENjA,8080000,518,1848840611
6,푸메,UCbzI92w5vWa6mEj1dACfy6g,5350000,664,1192313822
7,떵개떵,UC-i2ywiuvjvpTy2zW-tXfkw,4890000,4916,2985689461
